"Var1","Freq","perc"
"Agricultor","59","30.8900523560209"
"Estudiante","56","29.3193717277487"
"Ama de casa","19","9.94764397905759"
"Ninguno","19","9.94764397905759"
"Jornalero","18","9.42408376963351"
"Chofer","3","1.57068062827225"
"Otro","3","1.57068062827225"
"Alba–il","2","1.04712041884817"
"Comerciante","2","1.04712041884817"
"Agente de seguridad","1","0.523560209424084"
"Artesano","1","0.523560209424084"
"Empacador","1","0.523560209424084"
"Estilista","1","0.523560209424084"
"Palmicultor","1","0.523560209424084"
"Panadero","1","0.523560209424084"
"Pescador","1","0.523560209424084"
"Policia Pasivo","1","0.523560209424084"
"Servidor Publico","1","0.523560209424084"
"Soldador","1","0.523560209424084"
"total","191","100"
