"Var1","Freq","perc"
"Gingivorragia","31","17.9190751445087"
"Vómito","28","16.1849710982659"
"náusea","22","12.7167630057803"
"Mareo","21","12.1387283236994"
"Hematemesis","12","6.9364161849711"
"Cefalea","8","4.6242774566474"
"Epistaxis","8","4.6242774566474"
"Hematuria","7","4.04624277456647"
"Sudoración","6","3.46820809248555"
"Visión borrosa","5","2.89017341040462"
"Hemoptisis","4","2.3121387283237"
"Síncope","4","2.3121387283237"
"Melena","3","1.73410404624277"
"Sangrado genital","3","1.73410404624277"
"Sialorrea","3","1.73410404624277"
"Fiebre","2","1.15606936416185"
"Hipotensión","2","1.15606936416185"
"Rash","2","1.15606936416185"
"Taquicardia","2","1.15606936416185"
"total","173","100"
