"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"Abril",10,4,3,3,5.23560209424084,12.1212121212121,3.65853658536585,4.34782608695652
"Agosto",14,0,7,6,7.32984293193717,0,8.53658536585366,8.69565217391304
"Diciembre",17,4,7,6,8.90052356020942,12.1212121212121,8.53658536585366,8.69565217391304
"Enero",10,3,5,2,5.23560209424084,9.09090909090909,6.09756097560976,2.89855072463768
"Febrero",10,1,5,4,5.23560209424084,3.03030303030303,6.09756097560976,5.79710144927536
"Julio",17,2,6,8,8.90052356020942,6.06060606060606,7.31707317073171,11.5942028985507
"Junio",12,1,6,4,6.282722513089,3.03030303030303,7.31707317073171,5.79710144927536
"Marzo",19,4,5,9,9.94764397905759,12.1212121212121,6.09756097560976,13.0434782608696
"Mayo",21,6,9,6,10.9947643979058,18.1818181818182,10.9756097560976,8.69565217391304
"Noviembre",17,3,6,7,8.90052356020942,9.09090909090909,7.31707317073171,10.1449275362319
"Octubre",25,4,14,6,13.0890052356021,12.1212121212121,17.0731707317073,8.69565217391304
"Septiembre",19,1,9,8,9.94764397905759,3.03030303030303,10.9756097560976,11.5942028985507
"tot",191,33,82,69,100,100,100,100
