"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"Agente de seguridad",1,0,0,1,0.523560209424084,0,0,1.44927536231884
"Agricultor",59,11,20,27,30.8900523560209,33.3333333333333,24.390243902439,39.1304347826087
"Alba–il",2,0,1,1,1.04712041884817,0,1.21951219512195,1.44927536231884
"Ama de casa",19,5,10,4,9.94764397905759,15.1515151515152,12.1951219512195,5.79710144927536
"Artesano",1,1,0,0,0.523560209424084,3.03030303030303,0,0
"Chofer",3,0,1,2,1.57068062827225,0,1.21951219512195,2.89855072463768
"Comerciante",2,0,0,0,1.04712041884817,0,0,0
"Empacador",1,1,0,0,0.523560209424084,3.03030303030303,0,0
"Estilista",1,0,1,0,0.523560209424084,0,1.21951219512195,0
"Estudiante",56,11,29,16,29.3193717277487,33.3333333333333,35.3658536585366,23.1884057971014
"Jornalero",18,0,6,9,9.42408376963351,0,7.31707317073171,13.0434782608696
"Ninguno",19,0,12,6,9.94764397905759,0,14.6341463414634,8.69565217391304
"Otro",3,1,1,1,1.57068062827225,3.03030303030303,1.21951219512195,1.44927536231884
"Palmicultor",1,0,0,1,0.523560209424084,0,0,1.44927536231884
"Panadero",1,1,0,0,0.523560209424084,3.03030303030303,0,0
"Pescador",1,0,1,0,0.523560209424084,0,1.21951219512195,0
"Policia Pasivo",1,0,0,1,0.523560209424084,0,0,1.44927536231884
"Servidor Publico",1,1,0,0,0.523560209424084,3.03030303030303,0,0
"Soldador",1,1,0,0,0.523560209424084,3.03030303030303,0,0
"tot",191,33,82,69,100,100,100,100
